part;var;de;en
common;actions;"Aktionen";"Actions"
common;back;"Zurück";"Back"
config;allow_shortlink;"Kurz-URL einschalten";"Activate Short URL"
config;allow_shortlink_info;"Eine Kurz-URL kann bspw. durch hinzufügen einer RewriteRule in der .htaccess erstellt werden, dadurch kann auf https://ilias.domain.com/vote angestimmt werden:";"Use a Short URL like /vote by adding the following RewriteRule to your .htaccess:"
config;allow_shortlink_link;"Kurz-URL";"Short URL"
config;allow_shortlink_link_info;"Ganze Kurz-URL ihrer Installation, bspw. https://ilias.domain.com/vote";"Full Short URL of your Installation , e.g. https://ilias.domain.com/vote"
config;base_url;"Basis-URL";"Base URL"
config;base_url_info;"URL Ihrer ILIAS-Installation inkl. Unterverzeichnis, bspw. https://www.domain.com/ilias";"URL of yout ILIAS-Installation incl. Subfolders, e.g. https://www.domain.com/ilias"
config;cancel;"Abbrechen";"Cancel"
config;update;"Update";"Update"
msg_success;voting_created;"Voting wurde erstellt";"Voting has been created"
msg_success;voting_updated;"Voting wurde gespeichert";"Voting has been udpated"
obj;anonymous;"Abstimmung ohne Login";"Vote without Login"
obj;description;"Beschreibung";"Description"
obj;edit_properties;"Einstellungen bearbeiten";"Edit Properties"
obj;info_anonymous;"Das LiveVoting kann von den Abstimmenden ohne Login verwendet werden, auch wenn das Objekt in geschützen Bereich wie bspw. einem Kurs liegt.";"The LiveVoting can be used for the voters without authentication, even when the Object is in a secured Space like a Course"
obj;info_online;"Objekt ist online und verfügbar";"Object is online and available"
obj;info_reuse_status;"Beim Wechseln zwischen Voting wird jeweils übernommen, ob das nächste Voting freigegeben werden soll, oder nicht.";"Re-use the state of the current Voting when switching to the next (frozen / not frozen)."
obj;info_terminable;"Das LiveVoting kann nur innerhalb der definierten Zeit zum Abstimmen genutzt werden";"The LiveVoting only can be used in the definied period of time"
obj;online;"Online";"Online"
obj;reuse_status;"Player-Status übernehmen";"Re-use Player State"
obj;save:Speichern;"Save";""
obj;terminable;"Abstimmung zeitlich beschränken";"Limit voting time"
obj;terminable_select;"Zeitraum";"Time range"
obj;terminable_select_end_time;"Ende";"End"
obj;terminable_select_start_time;"Start";"Start"
obj;title;"Titel";"Title"
player;freeze;"Unterbrechen";"Freeze"
player;hide_results;"Resultate ausblenden";"Hide Results"
player;msg_no_votings;"Es sind keine Fragen vorhanden, das Voting kann nicht gestartet werden.";"There are no Questions, the LiveVoting can be started."
player;player_msg_no_votings;"Das LiveVoting kann nicht gestartet werden, da noch keine Votings vorhanden sind.";"This LiveVoting can't be started since there are no Votings available yet."
player;reset;"Zurücksetzen";"Reset"
player;show_results;"Resultate einblenden";"Show Results"
player;start_voting;"LiveVoting beginnen";"Start LiveVoting"
player;terminate;"Beenden";"Terminate"
player;unfreeze;"Freigeben";"Unfreeze"
player;voting_list;"Votings";"Votings"
qtype;1_colors;"Unterschiedliche Farben";"Different Colors"
qtype;1_multi_selection;"Mehrfachauswahl";"Multiple Selection"
qtype;1_option_text;"Options-Text";"Option-Text"
qtype;1_options;"Optionen";"Options"
qtype;2_multi_free_input;"Mehrfache Eingaben";"Multiple Inputs"
qtype;form_header;"Typ-Einstellugnen";"Type-Settings"
qtype;multi_free_input;"Mehrfache Eingaben";"Multiple Inputs"
subtab;edit;"Verwalten";"Manage"
subtab;show;"Zeigen";"Show"
tab;content;"Inhalt";"Content"
tab;edit;"Einstellungen";"Properties"
voter;answer;"Eingabe";"Input"
voter;answers;"Eingaben";"Inputs"
voter;delete;"Löschen";"Delete"
voter;delete_all;"Alle löschen";"Delete All"
voter;msg_access_screen;"PIN-Eingabe";"PIN-Access"
voter;msg_start_of_voting_screen;"Bitte warten, bis der Präsentator das Voting freigibt";"Please wait untill the Presenter starts the Voting"
voter;msg_waiting_screen;"Bitte warten";"Please wait"
voter;pin_input;"PIN zum Voting";"PIN"
voter;send;"Abschicken";"Send"
voter;text;"Eingabe";"Input"
voting;actions;"Aktionen";"Actions"
voting;add;"Voting hinzufügen";"Add Voting"
voting;cancel;"Abbrechen";"Cancel"
voting;create;"Erstellen";"Crete"
voting;delete;"Löschen";"Delete"
voting;delete_confirm;"Do you really want to delete the Voting?";"Do you really want to delete the Voting?"
voting;description;"Beschreibung";"Description"
voting;edit;"Bearbeiten";"Edit"
voting;msg_sorting_saved;"Reihenfolge gespeichert";"Order saved"
voting;question;"Frage";"Question"
voting;reset;"Zurücksetzen";"Reset"
voting;reset_all;"Alle Voting zurücksetzen";"Reset all Votings"
voting;save_sorting;"Reihenfolge speichern";"Save Order"
voting;select_type;"Typ auswählen";"Select Type"
voting;status;"Status";"Status"
voting;status_1;"Inaktiv";"Inactive"
voting;status_2;"Unvollständig";"Incomplete"
voting;status_5;"Aktiv";"Active"
voting;title;"Titel";"Title"
voting;type;"Typ";"Type"
voting;type_1;"Stimmabgabe";"Single Vote"
voting;type_1_info;"Multiple- oder Single-Choice";"Multiple- orSingle-Choice"
voting;type_2;"Freitext";"Free Input"
voting;type_2_info;"Benutzer können Stichwort selber eingeben";"User can hand in free text"
voting;type_3;"Bereich";"Range"
voting;type_4;"Reihenfolge";"Order"
voting;update;"Speichern";"Update"